name,company,note,still alive,level audition,re evaluation,main title,ep2,ep4,ep6,ep10,ep12
张洛菲,果然娱乐,已淘汰,0,D,D,D,71,68,76,,
张梦露,河马影业,,1,D,F,F,84,107,66,56,60
张天馨,乐辉文化,已淘汰,0,B,C,C,103,96,107,,
张语格,丝芭传媒,,1,C,C,C,17,19,25,30,37
张钰,大王娱乐,,1,B,B,C,59,13,12,13,17
赵小棠,泰洋川禾,,1,C,D,C,61,10,3,3,2
郑玉歆,TPG文创,已淘汰,0,C,C,A,99,86,88,,
周琳聪,圣元互娱,已淘汰,0,D,D,D,98,76,74,,
周梓倩,天加一,已淘汰,0,C,C,D,38,53,57,,
朱林雨,嘉行新悦,,1,C,C,B,62,58,47,45,34
卓依娜姆,诚利千代,已淘汰,0,C,F,C,74,84,92,,
邹思扬,觉醒东方,已淘汰,0,B,D,D,90,70,58,,
左卓,百沐娱乐,,1,C,C,D,52,48,62,50,39
